시군구,평수,월세금(만원),건축년도
서울특별시 성동구 옥수동,17.9,100,2012
서울특별시 강남구 대치동,25.7,160,2015
서울특별시 강남구 세곡동,22.6,0,2012
서울특별시 성동구 옥수동,25.7,0,1998
서울특별시 강남구 개포동,12.0,0,1992
서울특별시 중구 광희동1가,4.5,47,2023
서울특별시 중구 광희동1가,4.3,39,2023
서울특별시 성동구 옥수동,18.1,0,2016
서울특별시 강남구 역삼동,18.0,0,2005
서울특별시 강남구 논현동,25.4,240,2014
서울특별시 강남구 청담동,5.6,160,2018
서울특별시 종로구 숭인동,25.7,140,2008
서울특별시 강남구 대치동,25.6,0,1984
서울특별시 강남구 대치동,23.2,200,1990
서울특별시 성동구 마장동,5.7,20,2025
서울특별시 성동구 행당동,25.4,0,1998
서울특별시 성동구 성수동2가,25.7,240,2003
서울특별시 용산구 한강로2가,12.0,15,2021
서울특별시 광진구 구의동,5.5,36,2023
서울특별시 광진구 구의동,25.7,0,1996
서울특별시 광진구 구의동,25.7,0,1996
서울특별시 광진구 구의동,25.7,0,1997
서울특별시 광진구 자양동,12.2,40,2021
서울특별시 중구 신당동,35.8,0,2011
서울특별시 용산구 신창동,25.6,0,2005
서울특별시 중구 순화동,12.8,0,2016
서울특별시 용산구 한강로2가,12.0,15,2021
서울특별시 성동구 금호동2가,18.1,200,2016
서울특별시 용산구 한강로2가,12.0,15,2021
서울특별시 성동구 마장동,7.7,16,2025
서울특별시 성동구 마장동,5.7,20,2025
서울특별시 성동구 마장동,6.1,13,2025
서울특별시 성동구 마장동,11.9,37,2025
서울특별시 성동구 마장동,11.9,23,2025
서울특별시 용산구 한강로2가,12.0,15,2021
서울특별시 중구 만리동2가,22.1,0,2017
서울특별시 중구 만리동2가,25.7,0,2017
서울특별시 성동구 마장동,6.1,13,2025
서울특별시 성동구 마장동,11.9,37,2025
서울특별시 성동구 마장동,18.1,0,1996
서울특별시 노원구 월계동,25.6,0,2005
서울특별시 강북구 번동,25.6,0,1992
서울특별시 도봉구 쌍문동,19.8,0,1987
서울특별시 성북구 정릉동,13.0,85,2001
서울특별시 노원구 월계동,15.1,0,1995
서울특별시 노원구 월계동,18.1,45,2020
서울특별시 성북구 정릉동,34.7,0,1999
서울특별시 영등포구 여의도동,31.0,0,1978
서울특별시 영등포구 신길동,18.1,0,2017
서울특별시 동작구 본동,25.7,220,2011
서울특별시 영등포구 신길동,12.6,0,1984
서울특별시 영등포구 신길동,15.1,21,2015
서울특별시 영등포구 여의도동,24.0,0,1971
서울특별시 영등포구 신길동,15.1,21,2015
서울특별시 서초구 우면동,25.7,280,2012
서울특별시 서초구 반포동,61.0,0,2007
서울특별시 서초구 잠원동,25.6,0,1984
서울특별시 서초구 서초동,6.2,4,2018
서울특별시 서초구 서초동,25.5,300,2018
서울특별시 송파구 잠실동,37.6,0,2008
서울특별시 송파구 잠실동,25.7,0,2008
서울특별시 송파구 신천동,21.5,0,1979
서울특별시 서대문구 북아현동,25.7,0,1975
서울특별시 은평구 대조동,11.0,41,2022
서울특별시 은평구 대조동,11.0,41,2022
서울특별시 은평구 대조동,11.0,41,2022
서울특별시 서대문구 홍제동,17.9,0,2001
서울특별시 서대문구 북가좌동,19.8,0,1987
서울특별시 노원구 상계동,12.5,0,1988
서울특별시 노원구 상계동,12.5,0,1988
서울특별시 서대문구 홍은동,18.1,140,2020
서울특별시 노원구 중계동,25.7,100,2005
서울특별시 노원구 중계동,37.1,0,2018
서울특별시 노원구 상계동,12.5,0,1988
서울특별시 노원구 상계동,12.5,0,1988
